year,zone,hour,ev_trip_start,ev_trip_elec
2015,E06000046,ONEAM,11,11.41
2015,E07000147,ONEAM,4,0.0
2015,E07000026,ONEAM,2,1.78
2015,E06000043,ONEAM,12,1.49
2015,E06000044,ONEAM,15,0.0
2015,E07000148,ONEAM,11,0.91
2015,E07000027,ONEAM,4,0.95
2015,E07000149,ONEAM,11,0.99
2015,E07000028,ONEAM,6,0.0
2015,E06000041,ONEAM,12,0.5
2015,E07000029,ONEAM,1,0.0
2015,E06000042,ONEAM,21,1.87
2015,E06000040,ONEAM,9,0.91
2015,E07000154,ONEAM,22,1.35
2015,E07000033,ONEAM,5,0.0
2015,E07000155,ONEAM,5,0.0
2015,E07000034,ONEAM,2,0.0
2015,E07000156,ONEAM,3,0.0
2015,E07000035,ONEAM,4,0.74
2015,E07000036,ONEAM,4,0.0
2015,E07000150,ONEAM,2,0.0
2015,E07000151,ONEAM,5,0.0
2015,E07000030,ONEAM,2,0.0
2015,E07000152,ONEAM,4,0.0
2015,E07000031,ONEAM,7,0.0
2015,E07000032,ONEAM,9,0.29
2015,E07000153,ONEAM,10,0.52
2015,E06000056,ONEAM,21,0.0
2015,E06000057,ONEAM,11,0.0
2015,E07000037,ONEAM,6,1.43
2015,E06000054,ONEAM,28,0.0
2015,E07000038,ONEAM,3,0.0
2015,E06000055,ONEAM,7,1.59
2015,E07000039,ONEAM,9,2.83
2015,E06000052,ONEAM,33,0.0
2015,E06000053,ONEAM,0,0.0
2015,E06000050,ONEAM,32,34.32
2015,E06000051,ONEAM,27,1.94
2015,E08000012,ONEAM,26,8.82
2015,E08000013,ONEAM,18,6.1
2015,E08000010,ONEAM,12,2.65
2015,E08000011,ONEAM,6,3.54
2015,E07000121,ONEAM,14,0.0
2015,E07000242,ONEAM,6,2.62
2015,E07000122,ONEAM,7,3.11
2015,E07000243,ONEAM,6,1.69
2015,E07000123,ONEAM,9,1.14
2015,E07000124,ONEAM,7,5.05
2015,E06000029,ONEAM,16,2.76
2015,E06000027,ONEAM,5,0.0
2015,E07000240,ONEAM,14,0.0
2015,E06000028,ONEAM,13,15.01
2015,E07000120,ONEAM,8,0.67
2015,E07000241,ONEAM,13,3.87
2015,E06000025,ONEAM,19,3.57
2015,E07000129,ONEAM,3,0.0
2015,E07000008,ONEAM,8,0.0
2015,S12000044,ONEAM,27,2.5
2015,E06000026,ONEAM,20,2.46
2015,S12000045,ONEAM,7,1.24
2015,E07000009,ONEAM,6,0.0
2015,E06000023,ONEAM,19,3.68
2015,S12000046,ONEAM,44,24.92
2015,E06000024,ONEAM,13,3.05
2015,E07000125,ONEAM,5,1.02
2015,E06000021,ONEAM,15,21.12
2015,E07000004,ONEAM,15,15.88
2015,S12000040,ONEAM,9,1.01
2015,S12000041,ONEAM,4,0.0
2015,E07000005,ONEAM,4,3.33
2015,E06000022,ONEAM,4,0.0
2015,E07000126,ONEAM,12,0.0
2015,E07000127,ONEAM,8,3.72
2015,E07000006,ONEAM,6,1.53
2015,S12000042,ONEAM,4,0.0
2015,E07000007,ONEAM,14,10.95
2015,E07000128,ONEAM,5,0.0
2015,E06000020,ONEAM,11,2.47
2015,E08000016,ONEAM,12,0.67
2015,E08000017,ONEAM,12,1.5
